EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,DistanceFromHome,TrainingTimesLastYear,EnvironmentSatisfaction,ManagerRating,PromotionLast2Years,SalaryHikePercent,AbsenteeismDays,Attrition
100060,42,Male,Sales,Sales Executive,80949,12.0,10.0,No,2,3,3,9,2,2,2,0,16.6,6,No
100061,21,Female,Customer Support,Support Lead,61552,2.3,0.5,Yes,3,3,3,7,4,2,2,0,18.2,2,Yes
100062,32,Male,Sales,Sales Executive,60146,0.7,0.0,No,3,2,3,9,0,2,4,0,10.9,3,No
100063,36,Female,Customer Support,Support Lead,68526,6.3,5.9,No,2,3,2,4,2,3,4,0,13.6,4,No
100064,39,Female,Operations,Operations Manager,98609,6.0,4.8,No,4,2,3,6,3,4,2,0,16.5,2,Yes
100065,40,Male,Finance,Finance Manager,119717,1.7,0.0,No,3,3,4,18,2,3,3,0,11.0,2,No
100066,41,Male,IT,IT Support,62123,1.8,0.2,No,2,3,3,19,3,4,3,0,11.1,3,Yes
100067,32,Female,R&D,Software Engineer,100843,7.0,5.6,No,2,4,4,13,1,2,2,0,11.8,9,No
100068,31,Male,Finance,Finance Manager,118374,5.3,4.5,No,3,2,3,15,2,3,2,0,13.6,4,No
100069,42,Male,Sales,Account Manager,81489,3.3,1.4,No,3,3,3,3,2,3,3,0,5.4,5,No
100070,33,Male,Customer Support,Support Specialist,66723,5.7,3.5,No,4,2,2,5,2,4,4,0,17.0,3,No
100071,24,Male,R&D,Software Engineer,86387,5.0,4.0,No,3,3,4,7,2,3,4,0,15.9,3,No
100072,25,Female,R&D,Research Scientist,80402,2.0,0.0,No,4,4,3,31,2,3,4,0,14.1,2,No
100073,27,Female,IT,Systems Administrator,99775,7.4,2.9,No,3,3,3,7,2,2,2,0,4.0,3,Yes
100074,39,Male,Finance,Accountant,89016,6.5,4.9,No,3,2,4,12,3,2,3,0,10.4,7,No
100075,36,Female,R&D,Lab Technician,115435,4.2,3.5,Yes,4,1,4,10,2,4,3,1,21.7,3,No
100076,40,Male,Finance,Accountant,88325,7.0,6.6,No,4,2,4,10,3,1,3,0,13.4,6,No
100077,31,Male,Sales,Sales Executive,105678,12.9,11.7,No,4,2,4,8,2,4,3,0,8.0,2,No
100078,36,Female,IT,Systems Administrator,78655,1.8,0.3,No,3,4,3,4,1,4,3,0,12.8,0,No
100079,40,Female,R&D,Lab Technician,85856,3.4,3.0,Yes,2,1,4,2,1,2,1,1,18.9,8,Yes
100080,32,Male,R&D,Research Scientist,98437,3.5,2.4,No,1,3,3,17,3,2,4,0,13.9,4,No
100081,38,Male,Sales,Account Manager,81679,6.9,3.8,No,3,3,4,6,7,4,4,0,13.5,1,No
100082,29,Male,R&D,Software Engineer,86147,2.6,2.5,No,4,3,3,3,1,4,2,0,16.0,2,No
100083,32,Female,R&D,Data Scientist,106993,6.7,5.0,No,4,3,2,10,0,3,4,0,9.5,2,No
100084,31,Male,R&D,Research Scientist,79036,2.8,1.9,No,3,2,3,10,2,3,3,0,13.9,4,No
100085,25,Male,Sales,Sales Executive,52773,1.6,0.1,Yes,4,3,4,12,3,3,3,0,14.5,3,No
100086,38,Female,Sales,Account Manager,79086,4.3,0.0,Yes,3,1,3,15,4,3,3,0,11.5,6,No
100087,31,Male,HR,HR Business Partner,49767,2.7,1.3,No,2,3,4,5,0,2,4,0,12.7,0,No
100088,35,Male,Sales,Account Manager,92219,4.6,3.3,No,3,3,2,5,1,3,3,0,10.8,4,No
100089,38,Male,IT,IT Support,84687,5.4,2.8,No,2,4,3,7,2,4,3,0,12.1,3,No
100090,38,Male,Customer Support,Customer Success Manager,72495,1.0,0.0,Yes,4,2,3,13,2,3,4,0,11.0,3,Yes
100091,40,Male,R&D,Product Engineer,90433,3.0,1.3,Yes,3,1,3,3,1,2,3,0,14.6,0,No
100092,34,Female,Customer Support,Support Specialist,67827,4.3,2.3,No,4,3,3,9,2,2,3,0,10.1,3,No
100093,31,Female,Sales,Account Manager,94318,7.1,3.3,Yes,2,1,4,14,2,3,4,0,19.5,6,Yes
100094,34,Female,Sales,Sales Executive,100258,6.5,3.5,No,3,3,3,13,2,2,3,0,10.0,5,No
100095,21,Female,IT,Systems Administrator,83882,2.1,0.9,No,1,3,3,12,3,3,3,0,15.2,3,No
100096,23,Male,Operations,Supply Chain Specialist,93523,3.6,0.0,Yes,3,2,3,15,4,2,4,0,15.4,1,No
100097,24,Male,Operations,Operations Manager,96185,5.6,4.6,Yes,2,2,4,2,3,4,2,0,14.6,5,No
100098,26,Female,Sales,Account Manager,87447,3.5,1.8,Yes,1,3,3,20,0,2,4,0,12.3,0,No
100099,38,Male,Operations,Supply Chain Specialist,56216,2.3,0.5,No,3,2,4,10,2,3,3,0,11.4,8,No
100100,27,Female,R&D,Software Engineer,83826,4.0,2.9,No,3,2,3,17,0,3,4,1,12.7,3,No
100101,31,Female,R&D,Lab Technician,85704,5.3,1.1,No,4,3,4,4,0,4,4,1,17.3,0,No
100102,45,Male,Sales,Sales Manager,107360,2.0,0.9,Yes,1,1,3,3,3,3,4,0,11.8,8,No
100103,32,Male,Customer Support,Customer Success Manager,84968,6.0,4.6,Yes,2,2,4,22,1,4,2,0,18.1,9,No
100104,41,Male,Sales,Sales Executive,64294,4.5,1.2,Yes,2,3,4,5,1,4,3,0,12.4,2,No
100105,27,Male,Operations,Supply Chain Specialist,66757,6.2,5.2,Yes,3,1,4,7,1,4,2,1,15.1,2,No
100106,33,Male,Finance,Finance Manager,109284,3.9,3.5,No,3,3,3,11,3,3,3,0,6.2,2,No
100107,27,Male,IT,IT Support,97338,11.7,10.0,No,3,3,4,12,0,3,2,0,16.3,3,No
100108,32,Female,IT,IT Support,92907,5.2,4.6,Yes,3,3,3,15,2,4,2,0,13.9,3,No
100109,41,Female,Operations,Supply Chain Specialist,65345,6.7,6.2,No,3,3,3,9,1,4,4,0,15.4,1,Yes
100110,20,Female,Sales,Sales Executive,70105,6.0,5.9,No,3,3,3,5,2,4,4,0,15.6,5,No
100111,38,Male,Sales,Sales Manager,68908,3.6,3.5,No,4,2,3,12,1,3,3,0,14.8,3,No
100112,36,Male,Finance,Finance Manager,103265,4.9,4.7,No,3,3,3,12,3,3,3,0,14.9,3,No
100113,30,Male,R&D,Product Engineer,79735,2.6,0.0,Yes,2,2,3,3,1,4,3,0,14.1,8,No
100114,23,Male,Sales,Sales Executive,82449,11.2,11.0,No,3,2,3,18,2,4,4,0,14.7,6,No
100115,35,Female,Sales,Account Manager,87418,5.6,5.1,Yes,2,3,3,2,2,3,3,0,5.6,0,No
100116,30,Male,R&D,Lab Technician,89781,2.2,0.8,No,4,3,3,14,3,2,5,0,8.2,0,No
100117,36,Male,Sales,Account Manager,124290,9.6,7.1,Yes,2,3,4,6,3,2,3,0,9.6,5,No
100118,35,Female,Sales,Sales Executive,66894,3.7,1.0,No,3,3,3,12,3,4,3,0,16.4,0,No
100119,48,Male,Customer Support,Customer Success Manager,87620,7.3,6.6,No,3,3,3,11,3,2,2,0,9.3,5,No
100120,33,Male,R&D,Lab Technician,77777,1.0,0.0,No,2,3,3,8,1,4,3,0,9.8,9,No
100121,26,Male,Customer Support,Customer Success Manager,96012,8.5,7.2,Yes,1,3,4,10,1,4,4,0,14.0,9,Yes
100122,36,Female,Customer Support,Support Specialist,75285,5.4,3.8,No,2,3,3,8,1,3,3,0,7.6,5,No
100123,36,Female,Sales,Sales Representative,61311,2.1,0.4,No,4,3,3,12,3,4,3,0,13.3,2,No
100124,46,Male,IT,IT Support,71080,5.4,3.3,No,1,3,4,27,1,2,4,0,6.5,1,Yes
100125,41,Female,Finance,Financial Analyst,113481,10.5,9.6,No,4,3,4,4,2,4,5,0,9.9,5,No
100126,37,Female,IT,Systems Administrator,85342,2.7,1.6,Yes,1,2,3,1,2,3,4,0,12.7,7,No
100127,46,Female,Sales,Sales Representative,73775,2.6,0.0,Yes,4,3,4,6,1,1,4,0,9.7,1,No
100128,25,Male,Sales,Sales Executive,58872,3.6,2.7,No,1,2,4,6,0,4,4,0,18.5,6,No
100129,29,Male,Sales,Sales Manager,90469,4.3,2.6,No,3,3,3,7,1,4,4,0,12.2,0,No
100130,27,Female,Finance,Financial Analyst,83657,7.6,6.3,No,4,3,3,5,2,3,3,1,18.5,1,No
100131,31,Male,Customer Support,Support Specialist,67779,5.7,4.1,No,4,3,3,13,1,2,3,0,13.3,2,No
100132,23,Female,IT,IT Support,83093,3.6,0.2,No,3,2,4,4,4,2,3,0,14.0,3,No
100133,40,Female,IT,Systems Administrator,78275,5.0,3.7,No,1,2,4,10,5,4,4,0,10.5,7,Yes
100134,33,Male,Customer Support,Support Specialist,90201,11.6,11.1,No,2,2,2,12,1,2,4,1,17.8,5,No
100135,22,Female,IT,Systems Administrator,89672,6.3,5.4,No,4,3,4,10,1,2,4,0,15.5,0,No
100136,26,Female,Sales,Sales Executive,60111,3.8,2.5,Yes,2,1,4,11,3,3,4,0,21.3,1,No
100137,37,Female,Operations,Supply Chain Specialist,83777,3.5,1.7,No,3,3,3,14,3,2,3,0,14.9,4,No
100138,41,Male,R&D,Lab Technician,87250,4.8,4.1,No,3,2,5,8,3,2,4,0,12.6,8,No
100139,51,Female,Sales,Sales Representative,77196,7.5,6.7,No,2,3,4,7,6,4,4,0,15.0,6,No
100140,58,Male,HR,Recruiter,50478,2.4,0.6,No,3,2,4,11,0,4,4,0,15.5,9,Yes
100141,38,Female,Customer Support,Support Specialist,76753,6.9,5.0,No,3,4,4,11,6,3,4,0,18.1,1,No
100142,26,Female,R&D,Software Engineer,81868,3.8,0.8,No,3,3,2,13,1,3,4,0,16.6,4,No
100143,18,Female,HR,HR Generalist,78055,4.2,3.3,No,3,3,4,3,3,3,3,0,13.4,2,No
100144,37,Male,Sales,Sales Manager,117880,17.4,15.1,No,2,3,3,7,2,3,4,0,7.7,7,No
100145,28,Male,Sales,Sales Executive,76356,6.4,5.1,Yes,3,1,4,5,4,2,4,1,10.0,5,No
100146,31,Male,Sales,Sales Manager,63321,2.8,1.8,Yes,4,2,4,11,1,3,2,0,10.0,9,No
100147,29,Male,IT,Security Analyst,90823,5.4,4.0,No,3,2,4,12,2,3,4,0,11.9,4,No
100148,33,Male,Operations,Operations Manager,105387,7.8,6.2,No,3,3,4,7,1,2,2,0,19.3,2,No
100149,43,Female,Sales,Sales Executive,76394,6.5,6.1,Yes,3,2,4,5,0,4,3,0,19.3,3,No
100150,36,Male,R&D,Lab Technician,70519,0.6,0.2,No,3,3,3,11,1,4,3,0,15.4,4,No
100151,33,Female,Sales,Sales Representative,56576,4.1,1.5,No,3,4,3,8,4,2,3,0,16.3,0,No
100152,26,Female,Sales,Sales Executive,66009,5.6,4.5,No,3,3,3,18,0,2,3,0,9.5,2,No
100153,21,Male,HR,Recruiter,74688,5.3,3.5,No,4,3,4,22,2,3,3,0,8.7,5,No
100154,31,Female,IT,IT Support,82789,3.0,0.5,No,3,4,3,14,2,4,3,0,8.5,2,No
100155,34,Female,Finance,Accountant,93855,6.6,5.2,Yes,3,2,3,9,1,2,4,0,4.9,2,Yes
100156,49,Male,R&D,Research Scientist,92769,8.5,6.2,No,2,3,3,22,1,3,3,0,8.1,1,No
100157,36,Male,HR,Recruiter,75739,1.0,0.0,Yes,4,3,3,9,2,3,5,0,10.2,0,No
100158,43,Female,Sales,Account Manager,79875,0.9,0.0,Yes,1,2,3,6,1,3,3,0,12.6,2,Yes
100159,30,Female,Sales,Account Manager,85679,5.4,1.8,Yes,2,2,5,6,2,3,2,0,14.5,5,No
100160,25,Female,Customer Support,Customer Success Manager,97898,6.9,5.6,No,4,2,4,6,2,4,3,1,14.1,3,No
100161,27,Female,Operations,Operations Analyst,70944,2.7,0.1,No,4,4,3,8,3,4,4,0,14.0,3,No
100162,29,Female,Customer Support,Support Lead,50342,0.6,0.3,Yes,3,2,4,11,3,4,3,0,11.7,0,No
100163,52,Male,Customer Support,Support Specialist,60485,4.1,2.4,No,3,3,3,4,1,4,2,0,12.0,1,No
100164,28,Female,Finance,Financial Analyst,96144,5.4,1.1,No,4,4,3,6,2,4,4,0,8.1,2,No
100165,41,Male,Customer Support,Support Specialist,76431,3.4,0.0,No,3,4,3,9,5,4,3,0,15.8,0,No
100166,27,Female,R&D,Product Engineer,80956,7.9,7.6,No,3,3,4,12,3,4,4,0,14.1,0,No
100167,42,Male,Sales,Sales Manager,101395,5.1,4.0,Yes,3,3,2,8,2,4,4,0,14.4,0,No
100168,38,Male,Sales,Sales Manager,82179,2.5,1.9,No,3,3,3,9,2,4,4,0,7.7,4,No
100169,33,Female,Sales,Account Manager,84770,2.7,1.4,No,3,3,3,4,1,2,5,0,12.6,1,No
100170,34,Male,Sales,Account Manager,99605,4.2,1.3,No,2,2,3,5,0,4,2,0,14.0,6,No
100171,29,Female,R&D,Data Scientist,78347,3.2,0.0,No,4,4,3,8,1,4,3,0,4.8,3,Yes
100172,38,Male,IT,Systems Administrator,78213,0.9,0.0,No,3,2,3,11,3,4,3,0,16.1,3,Yes
100173,31,Female,Operations,Supply Chain Specialist,86902,4.8,4.5,No,4,3,4,9,2,2,5,0,9.6,0,No
100174,24,Female,Finance,Financial Analyst,72442,2.7,1.2,No,2,2,3,5,3,4,5,0,12.7,12,No
100175,24,Male,Sales,Sales Representative,49374,3.1,2.3,No,3,3,3,7,2,2,4,0,18.3,0,No
100176,36,Female,IT,IT Support,88519,1.8,0.6,Yes,2,2,2,19,2,4,3,0,15.3,8,No
100177,47,Male,R&D,Product Engineer,92432,10.7,9.7,Yes,4,2,3,11,2,3,3,0,6.8,6,No
100178,36,Female,Sales,Sales Manager,97608,6.2,5.9,Yes,2,2,4,7,0,4,3,0,13.4,4,Yes
100179,34,Female,R&D,Product Engineer,122568,12.3,8.6,No,3,2,3,5,4,2,3,0,16.3,4,No
100180,37,Female,R&D,Data Scientist,106129,3.3,2.6,No,3,3,3,6,3,4,5,0,9.1,1,No
100181,45,Male,R&D,Lab Technician,99562,6.4,5.5,No,2,4,4,8,4,3,3,0,12.7,5,No
100182,36,Male,Operations,Operations Manager,95295,4.9,0.6,Yes,3,1,4,10,4,3,3,0,12.6,3,No
100183,31,Female,IT,Systems Administrator,80164,2.5,2.2,No,2,2,3,11,1,4,4,0,14.0,5,Yes
100184,44,Female,IT,Systems Administrator,72184,3.3,1.2,No,3,4,3,10,5,3,2,0,6.6,4,No
100185,38,Male,Sales,Account Manager,88629,6.2,3.0,No,3,3,4,7,1,3,3,0,16.2,4,No
100186,47,Male,Operations,Operations Analyst,66080,1.8,0.0,No,4,3,4,6,1,3,3,0,11.8,1,No
100187,36,Male,IT,Security Analyst,79741,8.0,6.0,No,3,4,4,25,3,3,3,0,14.0,1,No
100188,24,Female,Sales,Sales Manager,93913,4.6,2.0,No,3,2,3,6,4,4,3,1,13.7,8,No
100189,23,Male,Finance,Finance Manager,93033,7.3,4.1,No,3,3,4,4,2,3,3,0,16.1,4,No
100190,48,Male,HR,Recruiter,76545,5.4,4.1,No,1,3,3,3,5,3,4,0,11.9,4,No
100191,49,Female,R&D,Product Engineer,81312,1.0,0.4,No,2,3,3,7,1,4,4,0,17.0,4,No
100192,33,Male,Sales,Sales Executive,57969,4.1,0.0,Yes,3,3,4,14,2,3,3,0,17.5,1,Yes
100193,31,Female,HR,HR Generalist,70814,8.1,5.7,No,2,2,4,6,2,2,4,0,11.2,6,No
100194,46,Male,Sales,Sales Representative,63046,4.6,3.1,Yes,1,1,2,18,4,2,3,0,16.8,5,No
100195,25,Female,Sales,Account Manager,93197,4.2,3.8,No,4,2,3,8,2,2,4,1,15.6,8,No
100196,27,Female,Sales,Sales Executive,69831,4.6,4.5,Yes,2,3,4,15,2,1,3,0,14.6,2,No
100197,40,Female,Customer Support,Customer Success Manager,64556,0.8,0.0,Yes,3,2,3,5,3,3,3,0,15.0,4,Yes
100198,31,Male,R&D,Software Engineer,102471,8.6,8.5,Yes,2,2,3,5,2,3,3,0,8.4,4,No
100199,34,Male,R&D,Research Scientist,77638,0.4,0.0,No,3,2,3,9,1,4,3,0,7.2,5,No
100200,33,Female,R&D,Product Engineer,107336,9.8,9.0,No,3,3,3,11,1,4,5,0,12.1,3,No
100201,37,Male,Operations,Operations Analyst,61361,3.2,2.2,Yes,3,3,4,7,1,4,3,0,11.9,0,Yes
100202,46,Male,Finance,Accountant,89321,5.6,1.8,No,3,3,3,10,3,2,2,0,19.3,1,No
100203,35,Male,Customer Support,Support Lead,60500,0.7,0.0,Yes,1,2,3,11,2,4,4,0,9.3,3,No
100204,40,Female,R&D,Software Engineer,100913,6.9,5.3,No,3,2,4,4,0,4,3,0,14.1,4,No
100205,18,Female,Sales,Sales Executive,75223,6.1,5.3,Yes,4,2,2,7,3,3,4,0,12.7,3,Yes
100206,34,Female,HR,HR Generalist,89664,5.9,4.0,Yes,4,2,3,6,3,3,3,0,16.3,3,No
100207,28,Female,R&D,Data Scientist,95750,0.7,0.0,No,4,2,3,6,3,2,4,0,8.5,6,No
100208,25,Male,Operations,Operations Analyst,59783,2.3,0.8,No,3,3,4,10,5,4,3,0,8.4,3,No
100209,27,Male,Operations,Supply Chain Specialist,69731,5.4,2.2,No,3,4,4,6,3,4,5,0,18.9,2,No
100210,32,Male,R&D,Research Scientist,102784,8.5,8.2,No,3,3,4,3,2,3,3,0,14.3,3,No
100211,42,Female,Customer Support,Support Specialist,43462,2.0,1.8,No,1,4,3,7,2,3,3,0,14.8,1,Yes
100212,24,Male,HR,Recruiter,59601,2.0,1.6,No,2,3,4,5,2,3,5,0,17.0,6,No
100213,35,Female,R&D,Lab Technician,94818,5.2,3.5,No,3,4,3,11,1,3,4,0,15.6,0,No
100214,31,Female,HR,HR Business Partner,119340,16.5,14.3,No,3,4,3,13,0,3,5,0,10.7,4,No
100215,32,Male,Sales,Sales Manager,68424,2.6,0.4,Yes,3,1,3,2,0,4,3,0,9.7,4,No
100216,43,Female,Operations,Operations Analyst,70812,3.1,2.0,No,4,4,3,5,0,3,4,0,5.0,3,No
100217,39,Male,Sales,Sales Representative,60346,2.8,0.0,Yes,1,3,3,10,1,4,5,0,8.5,5,Yes
100218,45,Female,R&D,Software Engineer,86498,3.8,1.8,No,4,2,3,4,1,3,2,0,12.2,3,Yes
100219,33,Female,Finance,Accountant,99754,8.9,4.6,Yes,3,2,4,13,1,2,2,0,11.5,0,No
100220,29,Female,Sales,Sales Executive,64195,3.9,0.2,No,4,3,5,15,3,3,3,0,10.0,1,No
100221,33,Male,Sales,Sales Executive,120210,17.4,16.3,No,4,3,3,7,2,3,4,0,12.2,2,No
100222,36,Male,IT,Systems Administrator,93596,4.5,1.6,Yes,4,2,4,5,0,3,2,0,18.7,3,No
100223,36,Male,Sales,Sales Representative,101370,9.4,8.3,Yes,3,2,4,2,1,4,4,0,13.8,0,No
100224,26,Male,R&D,Research Scientist,84465,3.3,0.0,No,4,4,3,13,1,4,4,0,8.0,1,No
100225,35,Male,R&D,Lab Technician,75104,1.5,0.3,Yes,1,1,4,25,3,4,5,0,18.5,3,No
100226,36,Male,R&D,Data Scientist,95770,3.9,1.6,No,4,2,4,22,1,3,4,1,13.8,4,No
100227,55,Female,Sales,Account Manager,88205,5.9,0.2,No,3,4,3,7,1,2,4,1,19.7,1,No
100228,50,Male,Operations,Supply Chain Specialist,73791,2.3,0.0,Yes,3,2,3,4,2,3,4,0,11.1,4,Yes
100229,28,Male,Customer Support,Support Specialist,85017,8.5,7.5,No,1,2,3,13,2,2,4,0,12.4,7,No
100230,32,Female,Sales,Sales Manager,89360,2.9,2.5,No,3,3,4,8,0,4,3,0,19.5,4,No
100231,22,Female,Customer Support,Customer Success Manager,71780,1.8,1.5,Yes,3,3,3,11,2,2,2,0,7.3,3,No
100232,30,Female,Finance,Financial Analyst,113348,15.4,13.2,No,3,3,2,10,0,3,3,0,8.3,1,No
100233,37,Female,Finance,Financial Analyst,94648,2.2,0.8,No,4,2,3,9,2,2,3,0,10.9,4,No
100234,44,Female,IT,Security Analyst,69472,2.8,2.4,No,3,4,3,14,2,3,4,0,11.5,3,Yes
100235,29,Female,IT,IT Support,101869,6.6,3.9,No,4,4,3,15,3,4,2,0,21.2,0,Yes
100236,29,Male,Operations,Operations Manager,95881,3.2,0.6,No,3,2,4,6,0,4,3,1,13.4,4,No
100237,18,Female,HR,HR Business Partner,55167,1.8,0.4,No,2,3,3,5,4,3,3,0,7.4,6,Yes
100238,33,Male,HR,HR Business Partner,53660,2.6,0.0,No,3,4,4,2,0,4,4,0,10.7,3,No
100239,26,Male,R&D,Research Scientist,108760,12.8,12.6,No,4,3,3,7,1,3,5,0,12.8,5,No
